t,g,target_sum,c_pi,c_side,g_over_t,c_pi_over_t,c_side_over_t,pi_fixed_fraction,plus_fixed_fraction,minus_fixed_fraction,pi_largest_fraction,plus_largest_fraction,minus_largest_fraction,pi_small_cycle_hist,plus_small_cycle_hist,minus_small_cycle_hist
30,38,76,58,18,1.2666666666666666,1.9333333333333333,0.6,0.12222222222222222,0.03888888888888889,0.011111111111111112,0.12222222222222222,0.45555555555555555,0.21666666666666667,1:22;2:13;3:9;4:6;5:0;6:1,1:7;2:1;3:1;4:0;5:0;6:1,1:2;2:0;3:3;4:2;5:2;6:1
31,38,81,58,23,1.2258064516129032,1.8709677419354838,0.7419354838709677,0.12365591397849462,0.043010752688172046,0.03225806451612903,0.08064516129032258,0.27419354838709675,0.1827956989247312,1:23;2:11;3:10;4:2;5:1;6:4,1:8;2:5;3:0;4:1;5:0;6:1,1:6;2:2;3:1;4:2;5:1;6:0
31,39,79,62,17,1.2580645161290323,2.0,0.5483870967741935,0.0967741935483871,0.010752688172043012,0.010752688172043012,0.07526881720430108,0.16129032258064516,0.24731182795698925,1:18;2:17;3:9;4:10;5:0;6:2,1:2;2:2;3:2;4:2;5:1;6:0,1:2;2:4;3:1;4:0;5:1;6:0
31,40,77,58,19,1.2903225806451613,1.8709677419354838,0.6129032258064516,0.12365591397849462,0.03225806451612903,0.021505376344086023,0.08064516129032258,0.34408602150537637,0.1881720430107527,1:23;2:11;3:8;4:4;5:3;6:3,1:6;2:3;3:0;4:3;5:0;6:0,1:4;2:3;3:1;4:3;5:0;6:0
32,40,82,61,21,1.25,1.90625,0.65625,0.109375,0.026041666666666668,0.015625,0.078125,0.16666666666666666,0.16666666666666666,1:21;2:13;3:6;4:8;5:3;6:5,1:5;2:2;3:1;4:1;5:2;6:1,1:3;2:3;3:2;4:1;5:1;6:1
32,41,80,61,19,1.28125,1.90625,0.59375,0.09895833333333333,0.005208333333333333,0.020833333333333332,0.06770833333333333,0.2604166666666667,0.328125,1:19;2:17;3:9;4:3;5:3;6:3,1:1;2:3;3:3;4:2;5:1;6:0,1:4;2:0;3:2;4:2;5:1;6:1
33,41,85,64,21,1.2424242424242424,1.9393939393939394,0.6363636363636364,0.13636363636363635,0.025252525252525252,0.015151515151515152,0.09090909090909091,0.25252525252525254,0.3333333333333333,1:27;2:14;3:7;4:6;5:1;6:1,1:5;2:5;3:1;4:2;5:0;6:1,1:3;2:4;3:3;4:3;5:1;6:1
33,42,83,64,19,1.2727272727272727,1.9393939393939394,0.5757575757575758,0.10606060606060606,0.015151515151515152,0.025252525252525252,0.07575757575757576,0.398989898989899,0.3686868686868687,1:21;2:13;3:9;4:6;5:9;6:3,1:3;2:4;3:3;4:1;5:0;6:2,1:5;2:2;3:1;4:1;5:2;6:1
34,42,88,69,19,1.2352941176470589,2.0294117647058822,0.5588235294117647,0.12745098039215685,0.024509803921568627,0.004901960784313725,0.06862745098039216,0.20098039215686275,0.2107843137254902,1:26;2:15;3:7;4:6;5:6;6:3,1:5;2:1;3:0;4:4;5:0;6:0,1:1;2:3;3:2;4:3;5:1;6:1
34,43,86,65,21,1.2647058823529411,1.911764705882353,0.6176470588235294,0.10294117647058823,0.004901960784313725,0.00980392156862745,0.05392156862745098,0.28921568627450983,0.2107843137254902,1:21;2:14;3:8;4:7;5:5;6:3,1:1;2:7;3:2;4:2;5:2;6:0,1:2;2:3;3:1;4:3;5:1;6:1
34,44,84,66,18,1.2941176470588236,1.9411764705882353,0.5294117647058824,0.11274509803921569,0.0196078431372549,0.014705882352941176,0.07352941176470588,0.2107843137254902,0.25,1:23;2:14;3:11;4:3;5:4;6:3,1:4;2:3;3:0;4:0;5:0;6:1,1:3;2:2;3:2;4:1;5:1;6:0
35,43,91,73,18,1.2285714285714286,2.085714285714286,0.5142857142857142,0.13333333333333333,0.014285714285714285,0.014285714285714285,0.05238095238095238,0.2571428571428571,0.26666666666666666,1:28;2:16;3:8;4:7;5:4;6:2,1:3;2:0;3:3;4:1;5:3;6:0,1:3;2:2;3:1;4:3;5:1;6:0
35,44,89,68,21,1.2571428571428571,1.9428571428571428,0.6,0.11904761904761904,0.023809523809523808,0.02857142857142857,0.0761904761904762,0.18571428571428572,0.22380952380952382,1:25;2:18;3:4;4:8;5:5;6:3,1:5;2:1;3:3;4:1;5:3;6:0,1:6;2:3;3:2;4:0;5:1;6:0
