k,r,j,h,E,count
2,18,10,8,56,857855333305235865600
2,18,11,6,56,5859224002157109250867200
2,18,12,4,56,7172377575989687516487352320
2,18,13,2,56,1160511364183864138533993185280
2,18,14,0,56,18025497322351397068236021301248
2,18,9,12,60,1080400562841600
2,18,10,10,60,101871689337376358400
2,18,11,8,60,1372318260338677568716800
2,18,12,6,60,4289203972583504543610961920
2,18,13,4,60,2439456648204509988554114334720
2,18,14,2,60,163370722124753798254585404456960
2,18,15,0,60,1068807364096735416339224089067520
2,18,9,14,64,51447645849600
2,18,10,12,64,7534953614271283200
2,18,11,10,64,191425036901471124111360
2,18,12,8,64,1359987915921484180777205760
2,18,13,6,64,2421553862532684794799021096960
2,18,14,4,64,603179702941470461185809086152704
2,18,15,2,64,16253591118211354610907530731192320
2,18,16,0,64,42143636211280064712034300094054400
2,18,9,16,68,1429101273600
2,18,10,14,68,328655183560704000
2,18,11,12,68,15907179297927562444800
2,18,12,10,68,242744369132893153137131520
2,18,13,8,68,1191482501815185554900934328320
2,18,14,6,68,1093739369253497943553279493406720
2,18,15,4,68,105294722684136763245980840330526720
2,18,16,2,68,1061928276007139067151558480232448000
2,18,17,0,68,862701462029714429862943559516160000
2,18,9,18,72,17643225600
2,18,10,16,72,7302883940352000
2,18,11,14,72,746554122409547612160
2,18,12,12,72,24710800281890373151621120
2,18,13,10,72,303687773596712997051926446080
2,18,14,8,72,976895545809371725284908029968384
2,18,15,6,72,349889871557587138298790364053504000
2,18,16,4,72,11634082353628317261179383414416998400
2,18,17,2,72,34856987548086039255319643147993088000
2,18,10,18,76,53353114214400
2,18,11,16,76,17003886481328947200
2,18,12,14,76,1375124092082215006371840
2,18,13,12,76,41438541617651333331603947520
2,18,14,10,76,415004758446769005388004390338560
2,18,15,8,76,597237549664091123762863170335539200
2,18,16,6,76,67299612031853482013740749666071347200
2,18,17,4,76,613255972434212061797146396924575744000
2,18,11,18,80,117483557500108800
2,18,12,16,80,36366697538579443875840
2,18,13,14,80,2965416590755121121755136000
2,18,14,12,80,84564943090563517319263549390848
2,18,15,10,80,490262248001557115038606665480929280
2,18,16,8,80,209582582666650064243272323507526041600
2,18,17,6,80,5795612015948199975624270460464660480000
2,18,12,18,84,294176267030790144000
2,18,13,16,84,98860388212753414750863360
2,18,14,14,84,8360611478243453955180802867200
2,18,15,12,84,176579571581949173549181761381990400
2,18,16,10,84,334849136182020087863674603523014656000
2,18,17,8,84,30643979325685522342275474087481442304000
2,18,13,18,88,1031118508922464714752000
2,18,14,16,88,367190051425364330648929566720
2,18,15,14,88,26734529503307303572743484814131200
2,18,16,12,88,247625132986386856148619146466793881600
2,18,17,10,88,88659773823423703425535662911152717824000
2,18,14,18,92,4960505300674239745228800000
2,18,15,16,92,1623659594063167239391392930201600
2,18,16,14,92,71886026731640528834545651235684352000
2,18,17,12,92,130670741043634415537532271401589800960000
2,18,15,18,96,27993823834923222568654602240000
2,18,16,16,96,6791394240282580241409904553754624000
2,18,17,14,96,85222741783513568031011195699016499200000
2,18,16,18,100,150531019356981090812864495616000000
2,18,17,16,100,18385900882909269480419075857317888000000
2,18,17,18,104,543849892967691838403507965132800000000
2,19,10,0,40,9350754818421387571200
2,19,10,2,44,11775024586160265830400
2,19,11,0,44,9688213170090639424880640
2,19,10,4,48,6310797490621841817600
2,19,11,2,48,17662721585508416945848320
2,19,12,0,48,3409453104794066452485242880
2,19,10,6,52,1915472409077632204800
2,19,11,4,52,12656196622119093148385280
2,19,12,2,52,9272346268822589492987166720
2,19,13,0,52,638569571483620568179220152320
2,19,10,8,56,365802022566908928000
2,19,11,6,56,4807567344169510770769920
2,19,12,4,56,9520547428052344655104573440
2,19,13,2,56,2684475144590461473124688855040
2,19,14,0,56,76696874277418999576341761753088
2,19,10,10,60,45817627068986572800
2,19,11,8,60,1087349706176360773386240
2,19,12,6,60,4876499408540237272692817920
2,19,13,4,60,4299073923751535461988302848000
2,19,14,2,60,516040848569421240192203357159424
2,19,15,0,60,6447958504871126962305885699833856
2,19,10,12,64,3777080367694233600
2,19,11,10,64,153656723854606544732160
2,19,12,8,64,1405918393558652444436725760
2,19,13,6,64,3314205401044357295684069621760
2,19,14,4,64,1385837554275339917380255116951552
2,19,15,2,64,71164228609105115330731240958459904
2,19,16,0,64,387376795449982219056475196243312640
2,19,10,14,68,198107734951526400
2,19,11,12,68,13650255724387248046080
2,19,12,10,68,241601173227720230307102720
2,19,13,8,68,1346646992415270033072209264640
2,19,14,6,68,1819755860283198858957578066460672
2,19,15,4,68,331006332549520211337528185066618880
2,19,16,2,68,7053629021597705081753017643622727680
2,19,17,0,68,15633308891829737222805655512730828800
2,19,10,16,72,6009847222579200
2,19,11,14,72,735837288191796510720
2,19,12,12,72,25092467654006302253383680
2,19,13,10,72,307084757979985845602667724800
2,19,14,8,72,1207268168765857731267129794101248
2,19,15,6,72,786202403649709969323029580629409792
2,19,16,4,72,56180713827165182235145275665295605760
2,19,17,2,72,462213566386759724928211924693077196800
2,19,18,0,72,328319527835308463022125948935864320000
2,19,10,18,76,80453108736000
2,19,11,16,76,21730151534362951680
2,19,12,14,76,1528651255523660802293760
2,19,13,12,76,40401616551965761621312143360
2,19,14,10,76,412116121358879117734946298396672
2,19,15,8,76,959277480407789979080232304486907904
2,19,16,6,76,237088580720150299069073352882609192960
2,19,17,4,76,6061882531832865507873644025591575347200
2,19,18,2,76,15245108152760499532843974982820167680000
2,19,11,18,80,263834706664488960
2,19,12,16,80,49484477855760936468480
2,19,13,14,80,3015118259715910387740180480
2,19,14,12,80,75370199437239586521552563208192
2,19,15,10,80,574387441821592823050930633291333632
2,19,16,8,80,535997585281822186138528077342100684800
2,19,17,6,80,43068213729160966926667403132853760819200
2,19,18,4,80,313347963917897980073866147140068179968000
2,19,12,18,84,639864349988207984640
2,19,13,16,84,116980020366754960480665600
2,19,14,14,84,7427060496376168965321705652224
2,19,15,12,84,164521454049649290746893118327488512
2,19,16,10,84,614973146020366697623585944236520898560
2,19,17,8,84,170515898532359276817812752106472760934400
2,19,18,6,84,3533204040089479864496738145781508210688000
2,19,13,18,88,1797090381719553599078400
2,19,14,16,88,368584830558479606894960836608
2,19,15,14,88,23173654799098470374090739541868544
2,19,16,12,88,327458577552796905523234196256813219840
2,19,17,10,88,363555271079664203095650970101515236147200
2,19,18,8,88,22913769542296963438747302994031060975616000
2,19,14,18,92,7140150396191737255506739200
2,19,15,16,92,1547061523788467515156822052831232
2,19,16,14,92,74723602749035739169810338460603514880
2,19,17,12,92,384930870748757388053288828631581825433600
2,19,18,10,92,84457800447101908016218577302175971540992000
2,19,15,18,96,38841370178195977991387873280000
2,19,16,16,96,7245107392556158735146826039516200960
2,19,17,14,96,176766471189685108877808830296558141440000
2,19,18,12,96,167685675779848860327333927153678724104192000
2,19,16,18,100,245871250690434283918482695258112000
2,19,17,16,100,29153596475976931964393297001505515110400
2,19,18,14,100,161435473260477435105352113747543088693248000
2,19,17,18,104,1471129319514841623434863110814433280000
2,19,18,16,104,61681756431161735606400879138735101313024000
2,19,18,18,108,5872320479521853935273802648285872128000000
2,20,10,0,40,2337688704605346892800
2,20,10,2,44,2597431894005940992000
2,20,11,0,44,7948141595658179435520000
2,20,10,4,48,1298715947002970496000
2,20,11,2,48,12427845802187092333056000
2,20,12,0,48,5106526168269497533238476800
2,20,10,6,52,384804725037917184000
2,20,11,4,52,8025808015994999053824000
2,20,12,2,52,11509464996379778605380403200
2,20,13,0,52,1471547576128193046877278044160
2,20,10,8,56,74823140979595008000
2,20,11,6,56,2874206255496176240640000
2,20,12,4,56,10105184183860146151791820800
2,20,13,2,56,4932397608732242025138310348800
2,20,14,0,56,251776336276831099682156131123200
2,20,10,10,60,9976418797279334400
2,20,11,8,60,638756840860471517184000
2,20,12,6,60,4640508583582025462199091200
2,20,13,4,60,6324331367045351290843838545920
2,20,14,2,60,1299516735842566761535765689139200
2,20,15,0,60,29226869390707971436056770940764160
2,20,10,12,64,923742481229568000
2,20,11,10,64,92446915864813526016000
2,20,12,8,64,1257560833178325328773120000
2,20,13,6,64,4037382728649528814674749030400
2,20,14,4,64,2631881761911409381395940638720000
2,20,15,2,64,239769717477433055478626413015203840
2,20,16,0,64,2451366201882735727860690962608029696
2,20,10,14,68,58650316268544000
2,20,11,12,68,8814419181261517824000
2,20,12,10,68,212579805960567260754739200
2,20,13,8,68,1439109888850636719359807324160
2,20,14,6,68,2619677244939834295797972546355200
2,20,15,4,68,812786797269065713785770055334625280
2,20,16,2,68,32604104723773729005745340914618859520
2,20,17,0,68,149481071360637751403580846680718704640
2,20,10,16,72,2443763177856000
2,20,11,14,72,542359024640649216000
2,20,12,12,72,22783142151564062633164800
2,20,13,10,72,305087725949087483065315491840
2,20,14,8,72,1375749010937969146525626394214400
2,20,15,6,72,1396418792603128787387029521872977920
2,20,16,4,72,188370057327578408284906101759629328384
2,20,17,2,72,3226900656171930986429770891454589173760
2,20,18,0,72,6169776329861741567034536252467367116800
2,20,10,18,76,60339831552000
2,20,11,16,76,20200568806978560000
2,20,12,14,76,1519690562808453542707200
2,20,13,12,76,39458497186997373511227801600
2,20,14,10,76,402235193032282465720158899404800
2,20,15,8,76,1246288021134126634475711357811425280
2,20,16,6,76,575407440840534752370546799088196648960
2,20,17,4,76,31181341563583804126017017159777790197760
2,20,18,2,76,212176150728608218958566408493182903910400
2,20,19,0,76,132700783705071038781488360815350251520000
2,20,10,20,80,670442572800
2,20,11,18,80,391149605822976000
2,20,12,16,80,59102872161339034828800
2,20,13,14,80,3080295768339208597079982080
2,20,14,12,80,68034933633919284776682396057600
2,20,15,10,80,574254063349450025290863044245585920
2,20,16,8,80,939586911746876599461451679652617650176
2,20,17,6,80,164170707731639931925115017386709556920320
2,20,18,4,80,3294128264356272241588674909908804567040000
2,20,19,2,80,7030758088401868629590655560284196831232000
2,20,11,20,84,2534272925184000
2,20,12,18,84,1142201151848300544000
2,20,13,16,84,136906009359173059048243200
2,20,14,14,84,6687724068076568405724522086400
2,20,15,12,84,140312008826552027663174447907471360
2,20,16,10,84,782549175709973715518824973403433205760
2,20,17,8,84,480110608915039391481120667178292184350720
